,id_hh,id_hs,cat_loc_div,cat_sz_cty,cat_hus_typ,num_flr,num_out_wls,cat_hus_dir_fce,num_hus_blt_yr,num_hus_ar,num_bed,num_bat,num_out_wds,cat_fuel_heat,cat_cool,cat_fuel_cook,num_hus_mems,cat_mhh_age,cat_mhh_occu,cat_hh_ann_incm,num_hus_age,num_tot_energy_heat
0,HH13110253,HS1101000001,1,1,3,9,2,1,1995,125.4,4,2,14,1,3,5,5,2,1,6,24,15554.885
1,HH14110055,HS1101000004,1,1,2,1,5,3,1989,158.4,3,1,15,1,3,5,4,2,1,3,30,14201.24
2,HH13110254,HS1101000005,1,1,1,2,6,2,1979,264,5,3,20,1,3,5,5,2,1,6,40,9864.481145
3,HH14110057,HS1101000007,1,1,1,1,5,2,1989,62.7,3,1,10,1,3,5,1,2,5,3,30,13970.90864
4,HH17110001,HS1101000009,1,1,1,1,4,2,2012,132,3,2,11,1,3,5,3,2,5,5,7,5932.0975
5,HH18110236,HS1101000011,1,1,2,3,4,2,2005,99,3,2,14,1,3,5,3,2,1,4,14,22726.58831
6,HH18110122,HS1101000012,1,1,1,1,5,2,1989,112.2,3,2,16,1,3,5,4,2,1,7,30,14151.41
7,HH18110119,HS1101000013,1,1,1,1,4,1,1985,99,3,2,14,1,3,5,2,3,5,3,34,13754.99456
8,HH13110255,HS1102000001,1,1,2,2,5,2,1990,99,2,1,10,1,3,5,4,2,1,7,29,7360.5185
9,HH11110023,HS1102000003,1,1,1,1,6,1,1971,122.1,4,2,8,1,3,5,5,2,3,2,48,15254.70714
10,HH13110257,HS1102000004,1,1,1,1,5,2,1978,102.3,2,1,14,1,3,5,2,3,5,1,41,15925.4987
11,HH18110114,HS1102000006,1,1,3,19,3,3,2008,112.2,3,2,20,1,2,5,4,3,3,7,11,13590.8312
12,HH13110233,HS1103000001,1,1,3,1,4,4,1991,112.2,3,2,14,1,3,5,6,2,4,6,28,16894.46
13,HH11110021,HS1103000005,1,1,1,1,5,1,1975,125.4,4,2,13,1,3,5,4,2,1,5,44,22120.58
14,HH11110022,HS1103000007,1,1,1,1,5,3,1983,85.8,3,1,13,1,3,5,2,3,3,1,36,20787.86
15,HH13110234,HS1103000008,1,1,3,17,3,2,1999,82.5,3,1,12,3,3,5,4,2,1,4,20,9292.228533
16,HH17110004,HS1103000012,1,1,2,3,4,1,1999,66,2,1,13,1,3,5,2,2,1,7,20,5794.262874
17,HH18110063,HS1103000019,1,1,2,3,3,3,1992,99,3,1,10,1,3,5,4,3,3,7,27,22152.58
18,HH18110005,HS1103000020,1,1,1,1,5,4,1993,99,3,2,10,1,3,5,4,2,1,6,26,19748.78
19,HH18110008,HS1103000021,1,1,1,1,4,1,1995,82.5,3,1,24,1,3,4,2,2,3,4,24,9709.48
20,HH18110015,HS1103000022,1,1,1,1,4,1,1990,89.1,3,1,10,1,1,5,2,3,3,2,29,19938.34
21,HH18110208,HS1103000023,1,1,2,2,3,4,2012,59.4,3,1,9,1,3,5,2,2,1,4,7,9780.12
22,HH18110040,HS1104000019,1,1,1,2,5,3,1990,69.3,3,1,18,1,3,5,4,2,1,5,29,14033.759
23,HH18110045,HS1104000020,1,1,1,1,5,3,2000,99,3,2,18,1,3,5,4,2,1,6,19,12470.018
24,HH18110200,HS1104000021,1,1,2,4,5,2,2002,82.5,3,2,17,1,3,4,4,2,1,6,17,10683.47756
25,HH18110052,HS1104000022,1,1,1,2,4,1,2004,66,2,1,20,1,3,5,5,2,1,5,15,12462.7293
26,HH18110036,HS1104000023,1,1,2,0,4,3,2000,66,2,1,2,1,1,4,4,2,1,5,19,9648.845357
27,HH18110056,HS1104000024,1,1,1,2,4,1,1996,49.5,3,1,12,1,3,5,3,2,1,4,23,10242.7415
28,HH18110081,HS1104000025,1,1,1,2,4,5,1999,66,2,1,13,1,3,5,3,2,2,4,20,3671.425563
29,HH18110202,HS1104000026,1,1,3,4,2,4,2001,79.2,2,1,10,1,3,4,2,2,1,5,18,11548.54869
30,HH18110124,HS1104000027,1,1,1,1,5,1,1995,105.6,3,2,12,1,3,5,3,2,1,7,24,12150.0832
31,HH18110201,HS1104000028,1,1,2,3,4,2,1991,42.9,2,1,8,1,1,4,3,2,1,6,28,5773.819902
32,HH18110018,HS1104000029,1,1,3,1,3,5,2015,82.5,3,2,12,1,3,5,5,2,3,5,4,16055.86
33,HH18110118,HS1105000021,1,1,2,0,4,2,1995,82.5,3,2,10,1,3,5,4,2,1,7,24,12843.97
34,HH18110120,HS1105000022,1,1,1,2,5,1,2000,132,4,1,7,1,3,4,4,2,3,6,19,16174.85
35,HH18110121,HS1105000023,1,1,2,5,4,3,1988,132,3,2,20,1,3,5,4,2,1,7,31,12011.02029
36,HH18110126,HS1105000024,1,1,2,0,5,5,1997,69.3,2,1,13,1,3,5,4,2,1,5,22,11071.28
37,HH18110128,HS1105000025,1,1,2,4,3,4,2005,66,2,1,13,1,3,4,4,2,4,7,14,15115.2855
38,HH18110130,HS1105000026,1,1,2,2,3,1,1986,122.1,3,2,16,1,3,5,4,2,3,6,33,14235.60714
39,HH18110003,HS1105000027,1,1,1,1,6,1,1973,92.4,4,1,16,1,3,5,2,3,1,5,46,4963.993928
40,HH18110006,HS1105000028,1,1,1,2,5,2,1990,46.2,2,1,12,1,3,5,4,2,1,4,29,12437.65
41,HH18110009,HS1105000029,1,1,1,2,5,3,1995,59.4,3,1,18,1,3,4,6,2,4,4,24,13085.5977
42,HH18110012,HS1105000030,1,1,1,1,4,3,1978,52.8,2,1,13,1,3,5,4,2,3,6,41,7051.034
43,HH18110023,HS1105000031,1,1,1,0,4,1,1985,132,2,1,8,1,1,4,2,3,5,3,34,9964.78
44,HH18110026,HS1105000032,1,1,2,3,4,1,1997,92.4,4,2,18,1,3,5,4,2,3,6,22,42951.25
45,HH18110030,HS1105000033,1,1,2,4,3,4,2015,105.6,3,1,7,1,3,5,3,2,1,4,4,8822.67322
46,HH18110034,HS1105000034,1,1,3,6,5,4,2016,75.9,3,2,16,1,3,4,3,2,1,5,3,10240.0281
47,HH18110039,HS1105000035,1,1,2,3,5,3,1980,99,3,1,12,1,3,5,4,2,3,5,39,16116.0173
48,HH18110116,HS1105000036,1,1,2,3,4,5,2006,108.9,3,2,6,1,3,5,4,2,1,5,13,14180.07
49,HH13110105,HS1106000001,1,1,3,14,3,1,2010,95.7,3,2,16,1,3,5,5,2,1,5,9,12631.00608
50,HH13110107,HS1106000003,1,1,3,25,4,1,2000,49.5,2,1,8,1,3,5,4,2,1,7,19,13293.49194
51,HH13110108,HS1106000004,1,1,3,3,3,1,1999,108.9,3,2,10,1,3,5,4,2,1,4,20,3149.114896
52,HH13110110,HS1106000006,1,1,3,10,2,5,2008,82.5,3,1,10,1,3,5,4,2,1,6,11,8938.39
53,HH13110118,HS1106000015,1,1,3,14,3,1,2000,108.9,3,2,12,1,3,5,4,2,1,5,19,12427.42791
54,HH17110013,HS1106000021,1,1,3,6,2,1,2010,105.6,3,2,16,1,3,5,4,2,1,3,9,10696.08
55,HH17110014,HS1106000022,1,1,2,4,3,1,2003,99,3,2,6,1,3,5,2,3,3,5,16,11359.8299
56,HH17110015,HS1106000023,1,1,3,1,3,5,2003,108.9,3,2,15,1,3,5,6,2,3,5,16,4969.849621
57,HH17110018,HS1106000026,1,1,2,3,4,3,1985,62.7,3,1,16,1,3,5,4,2,1,4,34,16039.29952
58,HH17110020,HS1106000028,1,1,3,11,3,1,2000,138.6,4,2,18,1,3,5,4,2,1,7,19,19884.92068
59,HH17110023,HS1106000031,1,1,3,12,3,1,2009,112.2,3,2,15,1,3,5,3,2,1,5,10,10051.74132
